TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: For years there has been a housing shortage in Berlin,				STATE	housing shortage, Berlin (AtLocation)/Berlin, housing shortage (HasA)															
e2: so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.				STATE/STATE																
e3: Since the area belongs to the federal state, or the federation,				STATE	area, belongs to federal state (HasProperty)/area, federal state (PartOf)/area, federation (PartOf)/federal state, area (HasA)/federation, area (HasA)/federal state, federation (IsA)															
e4: it could even be used for social housing with affordable rents.				STATE	affordable rents, social housing (PartOf)/area, social housing (UsedFor)/social housing, affordable rents (HasA)/social housing, affordable rents (Causes)/area, used for social housing (ReceivesAction)															
e5: Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.				STATE	fields, attractive leisure park (IsA)/sporting areas, leisure park (PartOf)/fields, sporting areas (HasA)/Berliners, fields (AtLocation)/visitors, fields (AtLocation)															
e6: If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.				GENERIC/STATE	compromise, found (ReceivesAction)/residential construction, compromise between green space and housing (Desires)/Tempelhofer Feld, made available for residential construction (ReceivesAction)/Tempelhofer Feld, residential construction (UsedFor)/residential construction, find a compromise between green space and housing (HasPrerequisite)/Tempelhofer Feld, available (HasProperty)															
e1-e2	adjacent	sup	1			Housing shortage occurs when there is too little open space for housing construction.	GENERIC/GENERIC	too little open space for housing construction, housing shortage (Causes)/housing construction, open space (HasPrerequisite)												
e2-e6	not adjacent	sup	0																	
e3-e4	adjacent	sup	1			The state and the federal government enable social housing construction with affordable rents.	STATE	social housing construction, affordable rents (Causes)/set affordable rents, enable social housing construction (MotivatedByGoal)/affordable rents, social housing construction (PartOf)/state, enable social housing construction (CapableOf)/federal government, enable social housing construction (CapableOf)												
e4-e2	not adjacent	sup	1			Open space is needed for housing construction.	GENERIC	open space, needed for housing construction (HasProperty)/housing construction, open space (HasPrerequisite)												
e5-e6	adjacent	und	2			If the Tempelhofer Feld is used for housing construction, visitors and Berliners can no longer spend their leisure time there.	STATE/GENERIC	Tempelhofer Feld, used for housing construction (ReceivesAction)/visitors and Berliners, Tempelhofer Feld (AtLocation)/Tempelhofer Feld, housing construction (UsedFor)/spending leisure time, housing construction (ObstructedBy)/visitors, spend leisure time at Tempelhofer Feld (NotCapableOf)/Berliners, spend leisure time at Tempelhofer Feld (NotCapableOf)	The housing construction reduces the leisure park.	STATE	housing construction, reduction of leisure park (Causes)/leisure park, housing construction (ObstructedBy)/housing construction, reduce leisure park (HasSubevent)									
e2-e3	adjacent	NONE	2			Tempelhofer Feld is an area that belongs to the federal state, or the federation.	STATE/STATE	Tempelhofer Feld, area that belongs to the federal state (IsA)/Tempelhofer Feld, area (IsA)/federal state, Tempelhofer Feld (HasA)/federation, Tempelhofer Feld (HasA)/federal state, own Tempelhofer Feld (CapableOf)/federation, own Tempelhofer Feld (CapableOf)/federal state, federation (IsA)/federal state, federation (DefinedAs)	Something that belongs to the federal state, or the federation, can be used as living space.	GENERIC	something that belongs to the federal state, living space (UsedFor)/something that belongs to the federation, living space (UsedFor)/living space, belonging to the federal state (CreatedBy)/living space, belonging to the federation (CreatedBy)									
e4-e5	adjacent	NONE	1			When an area is a leisure park, it cannot be used for social housing at the same time.	GENERIC/GENERIC	area, leisure park (IsA)/area, not used for social housing (ReceivesAction)/area, be a leisure park (CapableOf)/leisure park, social housing (NotUsedFor)												
